,id,uid,sci_name,kingdom
409,924,662904,Isodon amethystoides,33090
410,927,34254,Lithospermum erythrorhizon,33090
411,928,103999,Codonopsis lanceolata,33090
412,934,37334,Citrus maxima,33090
413,935,200492,Sophora alopecuroides,33090
414,938,49666,Paris polyphylla,33090
415,940,332442,Clinopodium nubigenum,33090
416,940,39329,Lavandula angustifolia,33090
417,942,28511,Pogostemon cablin,33090
418,943,75067,Rubus crataegifolius,33090
419,944,94219,Dendrobium nobile,33090
420,945,362630,Leuzea carthamoides,33090
421,949,33118,Nicandra physalodes,33090
422,951,1225088,Salacia oblonga,33090
423,952,226101,Aconitum vilmorinianum,33090
424,956,3483,Cannabis sativa,33090
425,957,326831,Pedicularis longiflora,33090
426,958,283121,Flueggea virosa,33090
427,962,489418,Zosima absinthifolia,33090
428,963,198880,Indigofera heterantha,33090
429,964,126913,Suaeda maritima,33090
430,968,82528,Crocus sativus,33090
431,969,261786,Helichrysum italicum,33090
432,971,459758,Cosmos sulphureus,33090
433,972,82755,Gymnanthemum amygdalinum,33090
434,975,203100,Veratrum nigrum,33090
435,976,482968,Mirabilis himalaica,33090
436,977,210357,Hovenia acerba,33090
437,978,253618,Epimedium brevicornu,33090
438,979,1408201,Eschenbachia blinii,33090
439,980,55670,Stevia rebaudiana,33090
440,981,52477,Peucedanum ostruthium,33090
441,982,59502,Rubus sachalinensis,33090
442,983,57928,Sibbaldianthe bifurca,33090
443,984,526193,Euphorbia ebracteolata,33090
444,985,463880,Ficus tikoua,33090
445,986,13708,Tagetes erecta,33090
446,987,2528947,Eremophila longifolia,33090
447,988,124778,Illicium verum,33090
448,991,120153,Mitracarpus villosus,33090
449,992,210348,Brucea javanica,33090
450,993,49577,Hellenia speciosa,33090
451,995,48106,Centella asiatica,33090
452,996,714493,Pulsatilla chinensis,33090
453,997,92927,Sarcandra glabra,33090
454,999,53879,Euchresta horsfieldii,33090
455,1000,106664,Colubrina asiatica,33090
456,1001,126910,Withania somnifera,33090
457,1004,46147,Portulaca oleracea,33090
458,1007,122943,Eremurus spectabilis,33090
459,1008,74656,Agrimonia pilosa,33090
460,1009,126910,Withania somnifera,33090
461,1010,82047,Albuca bracteata,33090
462,1010,205705,Albuca setosa,33090
463,1011,240005,Achyranthes aspera,33090
