id,uid,sci_name,kingdom
1010,992815,Zanthoxylum leprieurii,33090
1011,49227,Ophioglossum vulgatum,33090
1013,2689076,Ligusticum chuanxiong,33090
1016,94328,Zingiber officinale,33090
1016,3435,Persea americana,33090
1017,371726,Pistacia lentiscus,33090
1018,141467,Calotropis procera,33090
1021,1006121,Tetrastigma hemsleyanum,33090
1022,1683472,Decalepis salicifolia,33090
1024,94286,Platycodon grandiflorus,33090
1025,1535311,Gynura cusimbua,33090
1026,434687,Strobocalyx arborea,33090
1027,43575,Uncaria rhynchophylla,33090
1029,148728,Tetrapleura tetraptera,33090
1030,48809,Lysionotus pauciflorus,33090
1034,2785620,Dischidanthus thyrsiflorus,33090
1035,178741,Dendrobium hancockii,33090
1037,4054,Panax ginseng,33090
1052,41568,Chrysanthemum x morifolium,33090
1057,28511,Pogostemon cablin,33090
1062,181185,Cordia myxa,33090
1063,41496,Calendula officinalis,33090
1064,455045,Abelmoschus esculentus,33090
1065,139740,Ipomoea capitiformis,33090
1068,137693,Polygonum aviculare,33090
1070,318066,Tridax procumbens,33090
1071,2201915,Onosma bracteata,33090
1074,168191,Chamaecostus cuspidatus,33090
1075,33118,Nicandra physalodes,33090
1076,3677,Trichosanthes kirilowii,33090
1078,225203,Gentiana dahurica,33090
1080,49987,Satureja hortensis,33090
1081,326164,Pycnanthemum muticum,33090
1088,993105,Juniperus turbinata,33090
1090,542673,Lippia origanoides,33090
1092,65561,Hypericum perforatum,33090
1098,49577,Hellenia speciosa,33090
1099,350427,Erythropalum scandens,33090
1100,3673,Momordica charantia,33090
1101,41220,Gloriosa superba,33090
1102,49666,Paris polyphylla,33090
1103,211151,Cyanthillium cinereum,33090
1104,69109,Adansonia digitata,33090
1108,516071,Glechoma longituba,33090
1111,482967,Bergenia purpurascens,33090
1114,1249515,Hemerocallis citrina,33090
1115,3735,Moringa oleifera,33090
1118,285590,Tinospora cordifolia,33090
1121,210372,Aquilaria sinensis,33090
1122,16752,Houttuynia cordata,33090
1124,127986,Matricaria chamomilla var. recutita,33090
1125,94219,Dendrobium nobile,33090
1126,41220,Gloriosa superba,33090
1129,41554,Coreopsis tinctoria,33090
1132,44586,Panax notoginseng,33090
1133,1704622,Croton macrostachyus,33090
1133,280022,Rhamnus prinoides,33090
1134,2762161,Cirsium arvense var. setosum,33090
1138,112879,Lycium ruthenicum,33090
1141,159036,Clausena harmandiana,33090
1148,375128,Polygala paniculata,33090
1150,180015,Dracocephalum kotschyi,33090
1152,301693,Annona squamosa,33090
1153,89660,Ipomoea quamoclit,33090
1154,44586,Panax notoginseng,33090
1156,81800,Drimia indica,33090
1158,418402,Pseudostellaria heterophylla,33090
1160,76025,Fallopia multiflora,33090
1163,489439,Deverra tortuosa,33090
1165,459596,Cremastra appendiculata,33090
1166,29594,Acrostichum aureum,33090
1167,197236,Caralluma europaea,33090
1170,1610806,Isodon wightii,33090
1173,112591,Aconitum napellus,33090
1176,40922,Anethum graveolens,33090
1180,45211,Panax japonicus var. bipinnatifidus,33090
1181,455430,Hibiscus mutabilis,33090
1184,49684,Penthorum chinense,33090
1185,510735,Crataegus pinnatifida,33090
1186,152838,Lycoris aurea,33090
1192,74613,Glycyrrhiza uralensis,33090
1196,4232,Helianthus annuus,33090
1197,49666,Paris polyphylla,33090
1201,39329,Lavandula angustifolia,33090
1205,4006,Linum usitatissimum,33090
1206,43200,Launaea nudicaulis,33090
1207,47091,Lessertia frutescens,33090
1209,93293,Mauritia flexuosa,33090
1210,613112,Boswellia serrata,33090
1212,180015,Dracocephalum kotschyi,33090
1213,43879,Peganum harmala,33090
1214,3258,Equisetum arvense,33090
1217,199392,Baeckea frutescens,33090
1218,190515,Siraitia grosvenorii,33090
1219,124790,Schisandra propinqua,33090
1220,429709,Tabebuia rosea,33090
1221,155132,Akebia trifoliata,33090
1222,649199,Astragalus membranaceus,33090
1223,3914,Vigna angularis,33090
1225,138033,Vachellia nilotica,33090
1227,3483,Cannabis sativa,33090
1228,157914,Ziziphus mauritiana,33090
1231,2849876,Haplanthodes tentaculata,33090
1239,1117157,Teucrium polium,33090
1241,2056386,Rosa indica,33090
1245,310735,Pancratium zeylanicum,33090
1247,126910,Withania somnifera,33090
1248,284363,Rheum australe,33090
1250,159422,Passiflora alata,33090
1250,78168,Passiflora edulis,33090
1252,83819,Polygonum cuspidatum,33090
1253,223751,Aquilaria crassna,33090
1255,127999,Tanacetum parthenium,33090
1256,489439,Deverra tortuosa,33090
1257,543011,Achyranthes japonica,33090
1258,309429,Ficus hirta,33090
1259,3483,Cannabis sativa,33090
1260,578546,Guiera senegalensis,33090
1260,1548633,Pluchea odorata,33090
1260,228531,Piliostigma reticulatum,33090
1261,653463,Wrightia tinctoria,33090
1263,65558,Capparis spinosa,33090
1270,324593,Saussurea costus,33090
1272,3735,Moringa oleifera,33090
1273,49666,Paris polyphylla,33090
1275,335148,Silene viridiflora,33090
1276,246378,Rhus trilobata,33090
1277,353996,Mansoa alliacea,33090
1279,2849586,Anethum foeniculum,33090
1281,57917,Filipendula ulmaria,33090
1282,301693,Annona squamosa,33090
1283,247915,Otholobium glandulosum,33090
1284,308434,Gentiana crassicaulis,33090
1286,703614,Smilax glabra,33090
1288,751879,Ziziphora clinopodioides,33090
1289,39367,Salvia rosmarinus,33090
1291,3649,Carica papaya,33090
1297,51492,Tulbaghia violacea,33090
1298,172644,Broussonetia papyrifera,33090
1300,1000430,Teucrium montanum,33090
1301,20340,Ceratonia siliqua,33090
1302,58046,Platycladus orientalis,33090
1303,3735,Moringa oleifera,33090
1304,50543,Trichosanthes cucumerina,33090
1305,2815732,Physalis grisea,33090
1306,29760,Vitis vinifera,33090
1308,1031524,Euphorbia hebecarpa,33090
1310,127986,Matricaria chamomilla var. recutita,33090
1313,2291117,Cotoneaster zabelii,33090
1314,1439919,Rhodiola linearifolia,33090
1316,557628,Carpesium macrocephalum,33090
1317,1529108,Anemone baicalensis,33090
1318,261786,Helichrysum italicum,33090
1320,653079,Bauhinia rufescens,33090
1320,39350,Ocimum basilicum,33090
1320,4326,Salvadora persica,33090
1321,1454366,Camellia luteoflora,33090
1322,126910,Withania somnifera,33090
1323,77060,Azara serrata,33090
1325,555479,Nigella sativa,33090
1326,93608,Sinopodophyllum hexandrum,33090
1328,165353,Angelica sinensis,33090
1331,3311,Ginkgo biloba,33090
1333,165353,Angelica sinensis,33090
1334,78707,Bletilla striata,33090
1335,40922,Anethum graveolens,33090
1336,1167265,Pelargonium odoratissimum,33090
1337,43166,Citrus x aurantium,33090
1338,165298,Cissus quadrangularis,33090
1340,4112,Solanum nigrum,33090
1341,3707,Brassica juncea,33090
1345,439689,Evolvulus alsinoides,33090
1346,221775,Gomphrena globosa,33090
1347,1091631,Euphorbia lateriflora,33090
1347,309310,Ficus thonningii,33090
1348,28513,Salvia divinorum,33090
1355,4043,Petroselinum crispum,33090
1359,175518,Pluchea indica,33090
1366,155640,Melia azedarach,33090
1369,195526,Polygonatum cyrtonema,33090
1370,157443,Vincetoxicum atratum,33090
1371,318060,Abutilon indicum,33090
1374,39338,Melissa officinalis,33090
1375,48119,Glehnia littoralis,33090
1377,516985,Bulbophyllum odoratissimum,33090
1377,371727,Pistacia weinmaniifolia,33090
1382,569835,Zanha africana,33090
1384,171900,Helleborus thibetanus,33090
1386,1477590,Daphne genkwa,33090
1387,240005,Achyranthes aspera,33090
1388,268906,Salvia fruticosa,33090
1389,252529,Citrullus colocynthis,33090
1390,319147,Bridelia ferruginea,33090
1391,2575401,Pittosporum napaulense,33090
1393,94286,Platycodon grandiflorus,33090
1394,185518,Ilex hylonoma,33090
1405,82096,Eleutherococcus senticosus,33090
1406,339321,Rubia cordifolia,33090
1409,158576,Aristolochia trilobata,33090
1411,49563,Peucedanum japonicum,33090
1412,175694,Andrographis paniculata,33090
1414,117167,Cyclocarya paliurus,33090
1415,2914000,Torminalis glaberrima,33090
1416,289733,Orthopterygium huaucui,33090
1423,137221,Rheum palmatum,33090
1425,29783,Bouvardia ternifolia,33090
1426,226208,Salvia miltiorrhiza,33090
1427,33113,Atropa belladonna,33090
1428,136217,Curcuma longa,33090
1429,54796,Argemone mexicana,33090
1431,142615,Dendrobium officinale,33090
1432,302006,Ephedra alata,33090
1433,3972,Viscum album,33090
1434,227498,Arisaema heterophyllum,33090
1436,3988,Ricinus communis,33090
1437,4072,Capsicum annuum,33090
1439,4392,Eucommia ulmoides,33090
1440,154293,Dendrobium huoshanense,33090
1442,357850,Angelica keiskei,33090
1444,112863,Lycium barbarum,33090
1449,137887,Swertia chirayita,33090
1454,542674,Phyla dulcis,33090
1456,292239,Mentha arvensis,33090
1456,68527,Aegle marmelos,33090
1458,1210469,Eleutherine bulbosa,33090
1459,82096,Eleutherococcus senticosus,33090
1468,77588,Oryza coarctata,33090
1469,321607,Geum japonicum,33090
1472,261448,Coptis teeta,33090
1473,138033,Vachellia nilotica,33090
1474,929719,Coccinia abyssinica,33090
1476,85712,Angelica gigas,33090
1477,193516,Hippophae rhamnoides,33090
1484,39367,Salvia rosmarinus,33090
1486,375128,Polygala paniculata,33090
1487,285590,Tinospora cordifolia,33090
1489,141617,Tabernanthe iboga,33090
1491,49992,Thymus vulgaris,33090
1498,58944,Iris domestica,33090
1499,239286,Tetragonia decumbens,33090
1500,168183,Costus pictus,33090
1503,34182,Chlorophytum comosum,33090
1505,4054,Panax ginseng,33090
1508,203717,Saposhnikovia divaricata,33090
1512,361442,Vitex negundo,33090
1513,1158923,Rotheca serrata,33090
1514,147273,Taxus wallichiana,33090
