"","id","uid","sci_name"
"300",662,"192174","Usnea barbata"
"301",664,"2788934","Angelica glauca"
"302",665,"5661","Leishmania donovani"
"303",666,"143198","Echinops spinosissimus"
"304",667,"13427","Cichorium intybus"
"305",669,"640772","Anemoclema glaucifolium"
"306",672,"126643","Gymnotheca chinensis"
"307",675,"483143","Biancaea sappan"
"308",676,"4217","Arctium lappa"
"309",680,"447484","Hemsleya amabilis"
"310",681,"118431","Dianthus chinensis"
"311",684,"587669","Isodon rubescens"
"312",685,"119170","Blumea riparia"
"313",687,"260636","Orthosiphon stamineus"
"314",688,"29875","Trichoderma virens"
"315",688,"259893","Artemisia argyi"
"316",689,"459629","Embelia ribes"
"317",690,"296036","Phyllanthus emblica"
"318",694,"82206","Agave amica"
"319",697,"136217","Curcuma longa"
"320",701,"240184","Rheum spiciforme"
"321",702,"1340046","Callicarpa nudiflora"
"322",704,"82755","Gymnanthemum amygdalinum"
"323",705,"224054","Thymelaea lythroides"
"324",707,"50174","Ximenia americana"
"325",709,"65561","Hypericum perforatum"
"326",710,"474922","Colletotrichum gloeosporioides"
"327",710,"228704","Vincetoxicum lindleyi"
"328",711,"50182","Juniperus chinensis"
"329",714,"99300","Rehmannia glutinosa"
"330",715,"124943","Azadirachta indica"
"331",716,"153348","Lepidium meyenii"
"332",717,"4202","Sambucus nigra"
"333",718,"99300","Rehmannia glutinosa"
"334",719,"307165","Selaginella uncinata"
"335",720,"146541","Chloranthus henryi"
"336",721,"447484","Hemsleya amabilis"
"337",722,"76098","Asarum sieboldii"
"338",725,"1417791","Pelargonium sidoides"
"339",726,"2743239","Combretum leprosum"
"340",730,"483831","Leucas lavandulifolia"
"341",733,"693374","Hygrophila polysperma"
"342",736,"230192","Solanum lyratum"
"343",739,"344871","Chrysanthemum boreale"
"344",743,"271884","Antirhea borbonica"
"345",744,"648862","Aspidopterys obcordata"
"346",751,"671526","Waltheria indica"
"347",752,"294739","Mentha pulegium"
"348",754,"77074","Martynia annua"
"349",755,"443222","Toona sinensis"
"350",756,"74613","Glycyrrhiza uralensis"
"351",762,"36651","Penicillium digitatum"
"352",763,"49666","Paris polyphylla"
"353",764,"418402","Pseudostellaria heterophylla"
"354",768,"165353","Angelica sinensis"
