"","sci_name","uid","count"
"505","Viola tricolor",214053,9
"506","Warburgia ugandensis",549619,9
"507","Zanthoxylum asiaticum",2839963,9
"508","Abutilon indicum",318060,8
"509","Actaea racemosa",64040,8
"510","Ammi visnaga",1053409,8
"511","Annona squamosa",301693,8
"512","Arbutus unedo",84005,8
"513","Artemisia arborescens",72386,8
"514","Blumea balsamifera",313920,8
"515","Bridelia ferruginea",319147,8
"516","Calophyllum inophyllum",158927,8
"517","Cardiospermum halicacabum",289799,8
"518","Citrus x limon",2708,8
"519","Conioselinum officinale",54711,8
"520","Cordia dichotoma",992840,8
"521","Cornus mas",4285,8
"522","Cosmos caudatus",1125397,8
"523","Cotinus coggygria",269719,8
"524","Curcuma xanthorrhiza",136222,8
"525","Cymbopogon martini",79837,8
"526","Cynodon dactylon",28909,8
"527","Cynomorium songaricum",627609,8
"528","Digitalis purpurea",4164,8
"529","Dioscorea nipponica",64700,8
"530","Dracocephalum ibericum",1898806,8
"531","Drimia indica",81800,8
"532","Echinacea angustifolia",308558,8
"533","Eriobotrya japonica",32224,8
"534","Eschenbachia blinii",1408201,8
"535","Etlingera elatior",188493,8
"536","Ferula gummosa",371349,8
"537","Filipendula ulmaria",57917,8
"538","Gelsemium elegans",427660,8
"539","Glycyrrhiza inflata",74614,8
"540","Harpagophytum procumbens",222879,8
"541","Hedychium spicatum",110723,8
"542","Juniperus phoenicea",61308,8
"543","Lagerstroemia speciosa",122810,8
"544","Leonurus japonicus",4138,8
"545","Leonurus sibiricus",405945,8
"546","Lithospermum erythrorhizon",34254,8
"547","Malva parviflora",145753,8
"548","Melaleuca alternifolia",164405,8
"549","Melia dubia",43709,8
"550","Mesostemma dichotomum",2873749,8
"551","Nyctanthes arbor-tristis",41398,8
"552","Origanum dictamnus",497761,8
"553","Origanum onites",452416,8
"554","Origanum syriacum",1082757,8
"555","Oxalis corniculata",212256,8
"556","Phellodendron amurense",68554,8
"557","Platostoma chinense",587666,8
"558","Pleurolobus gangeticus",670324,8
"559","Prunus africana",379279,8
"560","Rauvolfia tetraphylla",545371,8
"561","Rhododendron groenlandicum",49605,8
"562","Salvia hispanica",49212,8
"563","Satureja bachtiarica",1986207,8
"564","Simarouba glauca",43729,8
"565","Solanum lycopersicum",4081,8
"566","Solanum trilobatum",404689,8
"567","Sonchus oleraceus",50207,8
"568","Taraxacum mongolicum",90037,8
"569","Thymus kotschyanus",2019954,8
"570","Toona sinensis",443222,8
"571","Turnera diffusa",329212,8
"572","Xanthium strumarium",318068,8
"573","Acmella oleracea",469459,7
"574","Adansonia digitata",69109,7
"575","Adenium obesum",69375,7
"576","Adenophora triphylla",187269,7
"577","Alcea rosea",65557,7
"578","Alisma plantago-aquatica subsp. orientale",262913,7
"579","Angelica gigas",85712,7
"580","Angelica keiskei",357850,7
"581","Artemisia capillaris",265783,7
"582","Artemisia pallens",2867270,7
"583","Bauhinia forficata",413686,7
"584","Bauhinia variegata",167791,7
"585","Benincasa hispida",102211,7
"586","Brassica napus",3708,7
"587","Caralluma tuberculata",197238,7
"588","Carissa carandas",141541,7
"589","Castilleja tenuiflora",428897,7
"590","Citrus medica",171251,7
"591","Citrus sinensis",2711,7
"592","Clausena excavata",76959,7
"593","Cnidoscolus aconitifolius",398630,7
"594","Cocos nucifera",13894,7
"595","Cordia myxa",181185,7
"596","Crataegus rhipidophylla",510738,7
"597","Crepidium acuminatum",421261,7
"598","Crithmum maritimum",40916,7
"599","Cucurbita moschata",3662,7
"600","Curcuma aromatica",136209,7
"601","Decalepis hamiltonii",492000,7
"602","Dianthus superbus",288950,7
"603","Dioscorea deltoidea",394303,7
"604","Dryopteris crassirhizoma",97234,7
"605","Dryopteris fragrans",239565,7
"606","Epimedium brevicornu",253618,7
"607","Eugenia uniflora",119951,7
"608","Euryale ferox",4414,7
"609","Fagonia cretica",90528,7
"610","Ficus benghalensis",309271,7
"611","Ficus hirta",309429,7
"612","Gentiana lutea",38851,7
"613","Gongronemopsis latifolia",2020314,7
"614","Gynandropsis gynandra",190802,7
"615","Helianthus annuus",4232,7
"616","Hemerocallis citrina",1249515,7
"617","Hibiscus cannabinus",229543,7
"618","Imperata cylindrica",80369,7
"619","Isodon rubescens",587669,7
"620","Juniperus communis",58039,7
"621","Leea indica",165300,7
"622","Leucojum aestivum",54835,7
"623","Levisticum officinale",48042,7
"624","Libidibia ferrea",191889,7
"625","Ligusticum porteri",54719,7
"626","Litsea cubeba",155299,7
"627","Lycium ruthenicum",112879,7
"628","Medicago sativa",3879,7
"629","Melastoma malabathricum",128733,7
"630","Melicope pteleifolia",354501,7
"631","Mentha canadensis",294733,7
"632","Merwilla plumbea",208511,7
"633","Minthostachys verticillata",332450,7
"634","Monochasma savatieri",1501483,7
"635","Nekemias grossedentata",416090,7
"636","Oplopanax elatus",228659,7
"637","Origanum compactum",1266558,7
"638","Paramignya trimera",1553915,7
"639","Persicaria capitata",452457,7
"640","Persicaria minor",488003,7
"641","Petiveria alliacea",46142,7
"642","Potentilla lineata",539895,7
"643","Pueraria montana var. thomsonii",174648,7
"644","Salvia abrotanoides",39354,7
"645","Sapindus mukorossi",57655,7
"646","Selaginella tamariscina",137178,7
"647","Semecarpus anacardium",289767,7
"648","Sideritis scardica",155261,7
"649","Stachys lavandulifolia",193339,7
"650","Streblus asper",648879,7
"651","Thevetia peruviana",52862,7
"652","Thunbergia laurifolia",504053,7
"653","Thymus serpyllum",204219,7
"654","Vicia faba",3906,7
"655","Xanthoceras sorbifolium",99658,7
"656","Zanthoxylum chalybeum",1671342,7
"657","Zea mays",4577,7
"658","Ziziphus lotus",345809,7
"659","Acacia concinna",1524234,6
"660","Acanthus ilicifolius",328098,6
"661","Agrimonia eupatoria",57912,6
"662","Agrimonia pilosa",74656,6
"663","Alternanthera sessilis",221762,6
"664","Amorphophallus paeoniifolius",174187,6
"665","Angelica glauca",2788934,6
"666","Antirhea borbonica",271884,6
"667","Aristolochia indica",158548,6
"668","Arnebia euchroma",373122,6
"669","Aronia melanocarpa",661339,6
"670","Artemisia princeps",223870,6
"671","Artemisia scoparia",72351,6
"672","Aspalathus linearis",155124,6
"673","Asparagus cochinchinensis",100514,6
"674","Asparagus officinalis",4686,6
"675","Asteriscus graveolens",73976,6
"676","Atractylodes chinensis",69404,6
"677","Avicennia marina",82927,6
"678","Baccharoides anthelmintica",759864,6
"679","Bersama abyssinica",113247,6
"680","Bixa orellana",66672,6
"681","Blumea lacera",441183,6
"682","Broussonetia papyrifera",172644,6
"683","Brucea javanica",210348,6
"684","Calligonum polygonoides",710102,6
"685","Camellia oleifera",385388,6
"686","Canavalia gladiata",3824,6
"687","Carapichea ipecacuanha",77880,6
"688","Carissa spinarum",429256,6
"689","Casearia sylvestris",112817,6
"690","Celastrus orbiculatus",85181,6
"691","Chamaemelum nobile",99037,6
"692","Cistanche tubulosa",161397,6
"693","Citrus maxima",37334,6
"694","Coix lacryma-jobi",4505,6
"695","Colocasia esculenta",4460,6
"696","Combretum indicum",3956,6
"697","Combretum leprosum",2743239,6
"698","Commiphora gileadensis",1700993,6
"699","Corydalis yanhusuo",458692,6
"700","Costus afer",328752,6
"701","Crataegus monogyna",140997,6
"702","Croton macrostachyus",1704622,6
"703","Curcuma comosa",199633,6
"704","Curcuma zedoaria",136224,6
"705","Curtisia dentata",16911,6
"706","Cynara cardunculus",4265,6
"707","Dendrobium fimbriatum",117953,6
"708","Dendropanax morbifer",98373,6
"709","Descurainia sophia",89411,6
"710","Diospyros kaki",35925,6
"711","Ducrosia anethifolia",325716,6
"712","Elettaria cardamomum",105181,6
"713","Eleutherococcus trifoliatus",46385,6
"714","Ensete ventricosum",4639,6
"715","Eucomis autumnalis",928200,6
"716","Euphorbia fischeriana",1035560,6
"717","Fritillaria unibracteata",152095,6
"718","Gentiana macrophylla",50765,6
"719","Gleditsia sinensis",66096,6
"720","Grewia asiatica",1384607,6
"721","Guiera senegalensis",578546,6
"722","Gundelia tournefortii",165083,6
"723","Gunnera perpensa",138603,6
"724","Hagenia abyssinica",57921,6
"725","Hansenia weberbaueriana",54724,6
"726","Hedera helix",4052,6
"727","Hedera nepalensis",85358,6
"728","Holarrhena pubescens",69381,6
"729","Hyoscyamus niger",4079,6
"730","Ilex asprella",185493,6
"731","Ilex paraguariensis",185542,6
"732","Indigofera tinctoria",198914,6
"733","Jatropha multifida",3996,6
"734","Justicia gendarussa",714472,6
"735","Leonurus cardiaca",587664,6
"736","Lilium davidii",82316,6
"737","Lilium lancifolium",79002,6
"738","Lilium polyphyllum",1948900,6
"739","Lycoris aurea",152838,6
"740","Maclura tricuspidata",210328,6
"741","Mentha aquatica",190902,6
"742","Mesembryanthemum tortuosum",216016,6
"743","Mesosphaerum pectinatum",986232,6
"744","Momordica balsamina",3672,6
"745","Monotheca buxifolia",191072,6
"746","Nanhaia speciosa",185713,6
"747","Neolamarckia cadamba",153762,6
"748","Nicotiana tabacum",4097,6
"749","Oplopanax horridus",182917,6
"750","Papaver rhoeas",33128,6
"751","Peperomia pellucida",352190,6
"752","Pergularia daemia",63483,6
"753","Phaseolus vulgaris",3885,6
"754","Pistacia integerrima",434235,6
"755","Plantago asiatica",197796,6
"756","Plumbago auriculata",45172,6
"757","Polygonatum odoratum",82207,6
"758","Prunus mume",102107,6
"759","Pterocarpus santalinus",1071199,6
"760","Raphanus sativus",3726,6
"761","Reynoutria japonica",488216,6
"762","Rheum ribes",1207382,6
"763","Rhus chinensis",289753,6
"764","Salacia oblonga",1225088,6
"765","Salvia castanea",476450,6
"766","Salvia leriifolia",1933732,6
"767","Sanguisorba officinalis",137457,6
"768","Sarcopoterium spinosum",137458,6
