id,plant_name,uid,count,height,part,duration,medicinal_activites,products,population,clinical_trial_count
345,Achyrocline saturejoides,3030045,11,,,,,,,0
346,Alhagi maurorum,47037,11,,,,,,,0
347,Atractylodes macrocephala,265785,11,,,,,,,0
348,Atropa belladonna,33113,11,,,,,,,10
349,Balanites aegyptiaca,886265,11,,,,,,,0
350,Capparis decidua,622458,11,,,,,,,0
351,Coccinia grandis,387127,11,,,,,,,1
352,Couroupita guianensis,66684,11,,,,,,,0
353,Dalbergia sissoo,107308,11,,,,,,,0
354,Dillenia indica,4378,11,,,,,,,0
355,Dioscorea bulbifera,35874,11,,,,,,,0
356,Dioscorea zingiberensis,325984,11,,,,,,,0
357,Glehnia littoralis,48119,11,,,,,,,0
358,Hypoxis hemerocallidea,862860,11,,,,,,,0
359,Illicium verum,124778,11,,,,,,,1
360,Labisia pumila,396393,11,,,,,,,3
361,Mesosphaerum suaveolens,204129,11,,,,,,,0
362,Mikania glomerata,1073848,11,,,,,,,0
363,Mikania laevigata,1049779,11,,,,,,,0
364,Mondia whitei,244352,11,,,,,,,0
365,Monteverdia ilicifolia,1081520,11,,,,,,,1
366,Morinda lucida,339305,11,,,,,,,0
367,Nerium oleander,63479,11,,,,,,,3
368,Ophiopogon japonicus,100506,11,,,,,,,1
369,Paeonia suffruticosa,45171,11,,,,,,,0
370,Panax japonicus,44685,11,,,,,,,0
371,Phlomoides rotata,572115,11,,,,,,,0
372,Phoenix dactylifera,42345,11,,,,,,,2
373,Pimpinella anisum,271192,11,,,,,,,4
374,Pistacia atlantica,434234,11,,,,,,,0
375,Platycladus orientalis,58046,11,,,,,,,0
376,Primula veris,170927,11,,,,,,,0
377,Rotheca serrata,1158923,11,,,,,,,0
378,Salvia fruticosa,268906,11,,,,,,,0
379,Sophora alopecuroides,200492,11,,,,,,,0
380,Tecoma stans,69904,11,,,,,,,1
381,Thymbra capitata,543980,11,,,,,,,0
382,Tithonia diversifolia,684020,11,,,,,,,0
383,Uncaria rhynchophylla,43575,11,,,,,,,1
384,Viola odorata,97441,11,,,,,,,0
385,Ziziphora tenuior,751882,11,,,,,,,0
386,Achillea fragrantissima,282738,10,,,,,,,0
387,Albizia lebbeck,371650,10,,,,,,,0
388,Alpinia oxyphylla,125261,10,,,,,,,1
389,Anacyclus pyrethrum,159698,10,,,,,,,0
390,Artemisia campestris,72337,10,,,,,,,0
391,Artemisia judaica,205369,10,,,,,,,0
392,Chenopodium album,3559,10,,,,,,,1
393,Chromolaena odorata,103745,10,,,,,,,0
394,Cinnamomum camphora,13429,10,,,,,,,0
395,Coreopsis tinctoria,41554,10,,,,,,,0
396,Cymbopogon flexuosus,79835,10,,,,,,,0
397,Cymbopogon winterianus,1414754,10,,,,,,,0
398,Dioscorea oppositifolia,569628,10,,,,,,,1
399,Elephantopus scaber,396369,10,,,,,,,0
400,Equisetum arvense,3258,10,,,,,,,0
401,Erigeron breviscapus,244311,10,,,,,,,1
402,Eruca vesicaria subsp. sativa,29727,10,,,,,,,0
403,Ferulago angulata,325741,10,,,,,,,0
404,Fridericia chica,353936,10,,,,,,,0
405,Helichrysum italicum,261786,10,,,,,,,2
406,Heracleum persicum,360621,10,,,,,,,0
407,Inula racemosa,483693,10,,,,,,,0
408,Lavandula stoechas,39333,10,,,,,,,0
409,Leucas aspera,483811,10,,,,,,,0
410,Mentha suaveolens,38860,10,,,,,,,1
411,Mirabilis himalaica,482968,10,,,,,,,0
412,Moringa peregrina,161031,10,,,,,,,0
413,Oliveria decumbens,2571315,10,,,,,,,0
414,Polygonatum kingianum,261420,10,,,,,,,1
415,Polygonatum sibiricum,261423,10,,,,,,,1
416,Rhodomyrtus tomentosa,98583,10,,,,,,,0
417,Rosa rugosa,74645,10,,,,,,,0
418,Saposhnikovia divaricata,203717,10,,,,,,,0
419,Saussurea involucrata,200489,10,,,,,,,1
420,Schisandra sphenanthera,13674,10,,,,,,,0
421,Scrophularia ningpoensis,291326,10,,,,,,,0
422,Scrophularia striata,1042520,10,,,,,,,0
423,Solanum melongena,4111,10,,,,,,,5
424,Squilla maritima,82070,10,,,,,,,0
425,Styphnolobium japonicum,3897,10,,,,,,,1
426,Tetrapleura tetraptera,148728,10,,,,,,,0
427,Trichosanthes kirilowii,3677,10,,,,,,,1
428,Vincetoxicum indicum,63500,10,,,,,,,0
429,Vitex trifolia,204215,10,,,,,,,0
430,Woodfordia fruticosa,141189,10,,,,,,,0
431,Xylopia aethiopica,1317910,10,,,,,,,0
432,Abelmoschus manihot,183220,9,,,,,,,2
433,Aconitum heterophyllum,279769,9,,,,,,,0
434,Adenanthera pavonina,3811,9,,,,,,,0
435,Aerva javanica,240009,9,,,,,,,0
436,Ageratum conyzoides,68299,9,,,,,,,0
437,Alkanna tinctoria,543564,9,,,,,,,0
438,Alkekengi officinarum,33120,9,,,,,,,0
439,Aloe arborescens,45385,9,,,,,,,47
440,Aloe ferox,117798,9,,,,,,,47
441,Althaea officinalis,145745,9,,,,,,,1
442,Anadenanthera colubrina,148671,9,,,,,,,0
443,Argemone mexicana,54796,9,,,,,,,1
444,Artemisia vulgaris,4220,9,,,,,,,1
445,Baccharis trimera,1486033,9,,,,,,,0
446,Berberis lycium,659594,9,,,,,,,0
447,Bombax ceiba,45325,9,,,,,,,0
448,Caralluma europaea,197236,9,,,,,,,0
449,Chrysopogon zizanioides,167337,9,,,,,,,0
450,Cinnamomum tamala,397098,9,,,,,,,0
451,Citrus x aurantium,43166,9,,,,,,,2
452,Corchorus olitorius,93759,9,,,,,,,1
453,Cordia curassavica,246543,9,,,,,,,0
454,Costus pictus,168183,9,,,,,,,0
455,Crataegus pinnatifida,510735,9,,,,,,,0
456,Cucurbita pepo,3663,9,,,,,,,1
457,Curcuma wenyujin,136221,9,,,,,,,0
458,Dactylorhiza hatagirea,2942076,9,,,,,,,0
459,Datura inoxia,4075,9,,,,,,,0
460,Dittrichia viscosa,56525,9,,,,,,,0
461,Embelia ribes,459629,9,,,,,,,0
462,Euphorbia tirucalli,142860,9,,,,,,,0
463,Evolvulus alsinoides,439689,9,,,,,,,0
464,Forsythia suspensa,126418,9,,,,,,,0
465,Garcinia kola,469930,9,,,,,,,0
466,Gynochthodes officinalis,266091,9,,,,,,,0
467,Hancornia speciosa,403091,9,,,,,,,0
468,Hedychium coronarium,71610,9,,,,,,,0
469,Hydrastis canadensis,13569,9,,,,,,,2
470,Jatropha gossypiifolia,454931,9,,,,,,,0
471,Juniperus procera,62753,9,,,,,,,0
472,Khaya senegalensis,587579,9,,,,,,,0
473,Kigelia africana,70070,9,,,,,,,0
474,Lactuca sativa,4236,9,,,,,,,7
475,Leptadenia reticulata,492004,9,,,,,,,0
476,Lonicera macranthoides,638627,9,,,,,,,0
477,Lycoris radiata,228395,9,,,,,,,0
478,Myristica fragrans,51089,9,,,,,,,65
479,Nicotiana benthamiana,4100,9,,,,,,,0
480,Nothapodytes nimmoniana,159386,9,,,,,,,0
